timestamp,source_file,on_play,card1,card2,card3,card4,card5,card6,card7,Sacred Foundry_1,Sacred Foundry_2,Sacred Foundry_3,Thraben Charm_1,Thraben Charm_2,Ocelot Pride_1,Ocelot Pride_2,Ocelot Pride_3,Dalkovan Encampment_1,"Ragavan, Nimble Pilferer_1","Ragavan, Nimble Pilferer_2",The Legend of Roku_1,Goblin Bombardment_1,Goblin Bombardment_2,Goblin Bombardment_3,Arena of Glory_1,Arena of Glory_2,Arena of Glory_3,"Ajani, Nacatl Pariah_1","Ajani, Nacatl Pariah_2","Ajani, Nacatl Pariah_3",Marsh Flats_1,Marsh Flats_2,Marsh Flats_3,Seasoned Pyromancer_1,Seasoned Pyromancer_2,Plains_1,Plains_2,"Phlage, Titan of Fire's Fury_1","Phlage, Titan of Fire's Fury_2","Phlage, Titan of Fire's Fury_3",Flooded Strand_1,Flooded Strand_2,Flooded Strand_3,Galvanic Discharge_1,Galvanic Discharge_2,Guide of Souls_1,Guide of Souls_2,Guide of Souls_3,Voice of Victory_1,Voice of Victory_2,Arid Mesa_1,Arid Mesa_2,Arid Mesa_3,Elegant Parlor_1,Elegant Parlor_2,Mountain_1,Blood Moon_1,num_lands,num_lands_sq,0_drops,1_drops,2_drops,3_drops,4_drops,5_drops,6_plus_drops,keep
2026-04-12 21:53:28.349933,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,0,Sacred Foundry,Thraben Charm,Thraben Charm,Sacred Foundry,Sacred Foundry,Ocelot Pride,Dalkovan Encampment,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,16.0,0,1,2,0,0,0,0,0
2026-04-12 21:53:34.458593,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,1,"Ragavan, Nimble Pilferer",The Legend of Roku,Goblin Bombardment,Arena of Glory,"Ajani, Nacatl Pariah",Marsh Flats,Seasoned Pyromancer,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,1,2,1,1,0,0,1
2026-04-12 21:53:40.141349,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,1,Plains,"Phlage, Titan of Fire's Fury",Flooded Strand,"Ragavan, Nimble Pilferer",Thraben Charm,Galvanic Discharge,Goblin Bombardment,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,2,2,1,0,0,0,1
2026-04-12 21:53:46.795216,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,0,Guide of Souls,The Legend of Roku,Seasoned Pyromancer,Galvanic Discharge,Marsh Flats,Voice of Victory,Arid Mesa,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,2.0,4.0,0,2,1,1,1,0,0,1
2026-04-12 22:19:17.637145,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,Galvanic Discharge,"Ajani, Nacatl Pariah",Arena of Glory,"Ragavan, Nimble Pilferer","Phlage, Titan of Fire's Fury","Phlage, Titan of Fire's Fury",Marsh Flats,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,2,1,2,0,0,0,1
2026-04-12 22:25:35.317811,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,Voice of Victory,Arena of Glory,Marsh Flats,Arid Mesa,"Ajani, Nacatl Pariah",Arid Mesa,Flooded Strand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,5.0,25.0,0,0,2,0,0,0,0,0
2026-04-12 22:25:40.774554,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,Elegant Parlor,"Ragavan, Nimble Pilferer",Thraben Charm,Galvanic Discharge,Plains,Dalkovan Encampment,Galvanic Discharge,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,3.0,9.0,0,3,1,0,0,0,0,0
2026-04-12 22:31:46.877889,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,"Ajani, Nacatl Pariah",Arena of Glory,Goblin Bombardment,Dalkovan Encampment,"Ragavan, Nimble Pilferer",Flooded Strand,Ocelot Pride,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,9.0,0,2,2,0,0,0,0,1
2026-04-12 22:31:50.461954,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,Ocelot Pride,"Phlage, Titan of Fire's Fury",Galvanic Discharge,Marsh Flats,Sacred Foundry,Guide of Souls,Elegant Parlor,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3.0,9.0,0,3,0,1,0,0,0,1
2026-04-12 22:31:56.197389,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,Voice of Victory,Sacred Foundry,The Legend of Roku,"Ajani, Nacatl Pariah",Goblin Bombardment,"Ragavan, Nimble Pilferer",Galvanic Discharge,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1.0,1.0,0,2,3,0,1,0,0,0
2026-04-12 22:32:04.733236,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,"Phlage, Titan of Fire's Fury","Ragavan, Nimble Pilferer",Guide of Souls,Guide of Souls,Dalkovan Encampment,Plains,"Ajani, Nacatl Pariah",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2.0,4.0,0,3,1,1,0,0,0,0
2026-04-12 22:32:11.925307,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,Arena of Glory,Galvanic Discharge,Guide of Souls,Ocelot Pride,The Legend of Roku,Elegant Parlor,Goblin Bombardment,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,2.0,4.0,0,3,1,0,1,0,0,0
2026-04-12 22:32:18.125496,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,Seasoned Pyromancer,Sacred Foundry,Elegant Parlor,Voice of Victory,"Ajani, Nacatl Pariah",Arid Mesa,"Ragavan, Nimble Pilferer",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,3.0,9.0,0,1,2,1,0,0,0,1
2026-04-12 22:36:04.293436,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,Guide of Souls,"Ajani, Nacatl Pariah","Ragavan, Nimble Pilferer",Plains,Ocelot Pride,Arid Mesa,Marsh Flats,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,3.0,9.0,0,3,1,0,0,0,0,1
2026-04-12 22:36:09.532566,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,Sacred Foundry,Goblin Bombardment,"Ajani, Nacatl Pariah",Ocelot Pride,Marsh Flats,Marsh Flats,Mountain,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4.0,16.0,0,1,2,0,0,0,0,1
2026-04-12 22:36:15.957721,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,"Ajani, Nacatl Pariah",Elegant Parlor,Galvanic Discharge,Flooded Strand,"Ajani, Nacatl Pariah",Goblin Bombardment,"Ajani, Nacatl Pariah",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,4.0,0,1,4,0,0,0,0,0
