timestamp,play_draw,card1,card2,card3,card4,card5,card6,card7,decision,source_file,keep,on_play
2026-04-12 21:53:28.349933,draw,Sacred Foundry,Thraben Charm,Thraben Charm,Sacred Foundry,Sacred Foundry,Ocelot Pride,Dalkovan Encampment,mulligan,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,0,0
2026-04-12 21:53:34.458593,play,"Ragavan, Nimble Pilferer",The Legend of Roku,Goblin Bombardment,Arena of Glory,"Ajani, Nacatl Pariah",Marsh Flats,Seasoned Pyromancer,keep,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,1,1
2026-04-12 21:53:40.141349,play,Plains,"Phlage, Titan of Fire's Fury",Flooded Strand,"Ragavan, Nimble Pilferer",Thraben Charm,Galvanic Discharge,Goblin Bombardment,keep,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,1,1
2026-04-12 21:53:46.795216,draw,Guide of Souls,The Legend of Roku,Seasoned Pyromancer,Galvanic Discharge,Marsh Flats,Voice of Victory,Arid Mesa,keep,20260413T025351Z_3e5f1862-cc9a-4acf-b5f5-e94fa624a67f_london_20260412_215308.csv,1,0
2026-04-12 22:19:17.637145,play,Galvanic Discharge,"Ajani, Nacatl Pariah",Arena of Glory,"Ragavan, Nimble Pilferer","Phlage, Titan of Fire's Fury","Phlage, Titan of Fire's Fury",Marsh Flats,keep,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,1
2026-04-12 22:25:35.317811,play,Voice of Victory,Arena of Glory,Marsh Flats,Arid Mesa,"Ajani, Nacatl Pariah",Arid Mesa,Flooded Strand,mulligan,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,1
2026-04-12 22:25:40.774554,play,Elegant Parlor,"Ragavan, Nimble Pilferer",Thraben Charm,Galvanic Discharge,Plains,Dalkovan Encampment,Galvanic Discharge,mulligan,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,1
2026-04-12 22:31:46.877889,play,"Ajani, Nacatl Pariah",Arena of Glory,Goblin Bombardment,Dalkovan Encampment,"Ragavan, Nimble Pilferer",Flooded Strand,Ocelot Pride,keep,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,1
2026-04-12 22:31:50.461954,draw,Ocelot Pride,"Phlage, Titan of Fire's Fury",Galvanic Discharge,Marsh Flats,Sacred Foundry,Guide of Souls,Elegant Parlor,keep,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,0
2026-04-12 22:31:56.197389,draw,Voice of Victory,Sacred Foundry,The Legend of Roku,"Ajani, Nacatl Pariah",Goblin Bombardment,"Ragavan, Nimble Pilferer",Galvanic Discharge,mulligan,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,0
2026-04-12 22:32:04.733236,draw,"Phlage, Titan of Fire's Fury","Ragavan, Nimble Pilferer",Guide of Souls,Guide of Souls,Dalkovan Encampment,Plains,"Ajani, Nacatl Pariah",mulligan,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,0
2026-04-12 22:32:11.925307,draw,Arena of Glory,Galvanic Discharge,Guide of Souls,Ocelot Pride,The Legend of Roku,Elegant Parlor,Goblin Bombardment,mulligan,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,0,0
2026-04-12 22:32:18.125496,draw,Seasoned Pyromancer,Sacred Foundry,Elegant Parlor,Voice of Victory,"Ajani, Nacatl Pariah",Arid Mesa,"Ragavan, Nimble Pilferer",keep,20260413T044302Z_1f4145a8-6d44-4cee-afab-fa5bcda8ccfe_mtg-jess_20260412_221910.csv,1,0
